source_id,target_id,weight,source_book,page,evidence
E40747,E43828,1,船舶柴油机故障实例 (张庆信编),61,"事故原因是超速控制机构的驱动杆轴承衬供油中断,机件发热以致部分溶化"
E40778,E43849,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",3,液压系统产生漏油的原因与解决方法......(54
E40780,E43849,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",3,元件接合画间漏油及解决方法......(55
E40781,E43849,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",4,壳体漏油及解决方法......(55
E40841,E43849,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",17,"液压泵常常希望能高速运转,这样可直接与高速原动机连接并缩小液压泵体积,而液压马达最好能与低速的工作机构直接连接,否则要采取减速措施,对于变速的液压马达也希望调速范围大,具有最低的稳定转速,齿轮液压马达漏油环节较多,采用间隙补偿提高容积效率的结构也较复杂,因此一般不适用于低速"
E40845,E43827,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",23,"为了保证纸质滤油器的正常工作,不致因杂质逐渐聚集在滤芯上而增大压差破坏纸芯,纸质滤油器上方装有堵塞发讯报警装置"
E40848,E43827,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",24,"液体的粘度也是选择滤油器的重要因素,因为流阻随粘度的增加而增加,通常在冷态起动的情况下,如果液体粘度接近2000SUS,液体会使滤芯损坏或破裂,在这种情况下,必须用旁通阀提供液体的循环,直至液体的温度升高而粘度下降到正常值时为止;另一种可供选择的办法是,采用重载、成本高、能承受大压差的滤油器,为使滤油器能得到及时维修和可靠工作,滤油器必须设有故障指示器和报警器"
E40850,E43849,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",25,"液压泵与电机在油箱上的安装方式有两种:卧式安装法管道外露,安装维修较方便;立式安装法将液压泵与有的管道都放在油箱里,便于收集漏油,但维修不方便"
E40855,E43837,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",31,"从而使右侧液压缸失压,左侧液压缸中的油液高速回油箱,这时专用阀的阀芯右端失压,在弹簧力作用下,阀芯向右移动,当移到节流阀位置时,左侧液压缸回油通道被节流,回油受到较大阻力,使管路中的油压升高,平衡住水流对舵叶的作用,而使舵叶转动速度得到限止,不致使右侧液压缸出现吸空现象"
E40868,E43849,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",38,"考虑液压系统中的运动速度:当液压系统中工作部件的运动速度很高时,油液的流速也高,液压损失也随着增大,而漏油率相对减少,因此宜选用粘度较低的油液;相反,当工作部件的运动速度低时,每分钟所需的油量很少,这时漏油率相对增大,对系统的运动速度影响较大,所以宜选用粘度较高的油液"
E40921,E43849,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",54,液压系统漏油是一种严重的能源浪费
E40928,E43849,4,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",54,"因此各先进工业国,近年来都把漏油作为液压技术的几大问题之一进行研究探讨,采用各种方法防止漏油,特别是在密封技术领域内,出现了各种各样波型、管型机械密封,扇形密封,静压型非接触密封,动压型非接触密封,浮环密封,粘性密封,磁流体密封等新技术,从而有效地控制了液压系统的漏油"
E40934,E43849,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",54,"管接头漏油在漏油事故中占的比例很高,约占系统漏油的30%~40%"
E40935,E43849,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",54,"管接头漏油在漏油事故中占的比例很高,约占系统漏油的30%~40%"
E40936,E43849,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",54,管接头漏油主要与连接处的加工精度、坚固程度及毛刺是否除掉有关
E40937,E43849,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",55,"头部分加工成球面形,才能保证连接后不漏油;对于依靠锥面密封的要将锥面加工成圆而光滑的喇叭口,连接后才能起到密封作用"
E40938,E43849,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",55,"此外,管接头和油塞常采用锥管螺纹连接,由于锥管螺纹之间不可能完全吻合密封,所以也极易产生漏油现象"
E40943,E43849,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",55,"在装配时有污物或棉线形成毛细管渗透而引起的漏油,或者是油道内有铁屑等污物没清除干净而造成堵塞引起外部漏油"
E40945,E43849,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",55,"在工作中由于受液压系统的压力脉动或冲击振动,这些缺陷就会逐渐扩大,从而产生漏油现象"
E40964,E43849,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",64,"沟槽尺寸s值过大,会造成预压缩量和贴紧量不足,因而降低了密封能力,产生漏油"
