source_id,target_id,weight,source_book,page,evidence
E53164,E43849,1,船舶柴油机故障实例 (张庆信编),35,"柴油机气缸注油管线细而且长,弯弯曲曲且又固定不良,较易在振动中因磨损而出现漏油;其缸壁注油嘴被燃烧产物全部堵塞或部分脏堵的情况也极易发生;注油嘴中的小止回阀有时也会发生卡阻在开启位置,造成燃气的倒奔"
E53175,E43828,1,船舶柴油机故障实例 (张庆信编),39,"如发现进气管发热,并伴有击鼓般的闷声,可测定涡轮机前的压力和压气机的排出压力(用$4\times10^{4}Pa$水银压力计测量)、排气温度,再与说明书比较(或与正常状态时的数据比较"
E53189,E43832,1,船舶柴油机故障实例 (张庆信编),46,"起初操作人员认为是由于启动空气压力不足(约$1.177\times10^{6}$Pa,启动转速太低难以发火"
E53206,E43845,1,船舶柴油机故障实例 (张庆信编),61,"一台功率为$1100\,kW$的四冲程筒形活塞柴油机,其活塞顶被烧穿,燃烧气体进入了曲拐箱,结果发生了爆炸和失火"
E53303,E43849,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",17,"液压泵常常希望能高速运转,这样可直接与高速原动机连接并缩小液压泵体积,而液压马达最好能与低速的工作机构直接连接,否则要采取减速措施,对于变速的液压马达也希望调速范围大,具有最低的稳定转速,齿轮液压马达漏油环节较多,采用间隙补偿提高容积效率的结构也较复杂,因此一般不适用于低速"
E53528,E43849,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",67,"泵的泄漏油管要畅通,一般不允许有背压,以防压力超过低压密封所允许的数值而引起泄漏"
E49038,E43849,7,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",75,"在系统稳定工作时,除随时注意油位、油温、压力等问题外,还要检查执行元件、控制元件的工况,注意整个系统漏油和振动"
E48560,E43834,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E49038,E43834,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E53593,E43834,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E53593,E43849,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E53596,E43834,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E53596,E43849,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E53602,E43834,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E53602,E43849,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E53607,E43834,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E53607,E43849,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E49044,E43830,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",86,"故障产生原因排除方法泵不排油或排1.电动机转向接反2.滤油器或吸油管道堵塞3.连接部位有泄漏,空气侵入泵内4.油液粘度过大,温升太高5.零件磨损,间隙增大,泄漏较大6.泵的转速太低7.油箱中油位太低8.溢流阀有故障1.更换接头(线),改变电机转向2.拆洗滤油器及管道或更换油液3.检查,并紧固有关的螺纹连接件或更换密封件,严防空气侵入4.根据温升实际情况,选择适当粘度的油液5.检查有关磨损零件,进行"
E53650,E43830,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",86,"故障产生原因排除方法泵不排油或排1.电动机转向接反2.滤油器或吸油管道堵塞3.连接部位有泄漏,空气侵入泵内4.油液粘度过大,温升太高5.零件磨损,间隙增大,泄漏较大6.泵的转速太低7.油箱中油位太低8.溢流阀有故障1.更换接头(线),改变电机转向2.拆洗滤油器及管道或更换油液3.检查,并紧固有关的螺纹连接件或更换密封件,严防空气侵入4.根据温升实际情况,选择适当粘度的油液5.检查有关磨损零件,进行"
E53655,E43830,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",86,"故障产生原因排除方法泵不排油或排1.电动机转向接反2.滤油器或吸油管道堵塞3.连接部位有泄漏,空气侵入泵内4.油液粘度过大,温升太高5.零件磨损,间隙增大,泄漏较大6.泵的转速太低7.油箱中油位太低8.溢流阀有故障1.更换接头(线),改变电机转向2.拆洗滤油器及管道或更换油液3.检查,并紧固有关的螺纹连接件或更换密封件,严防空气侵入4.根据温升实际情况,选择适当粘度的油液5.检查有关磨损零件,进行"
E48743,E43849,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",87,"故障产生原因排除方法噪声严重1.吸油管或滤油器部分堵塞2.吸油管连接处密封不严,有空气进入1.清洗滤油器与管路,使吸油畅通2.在吸油管连接处涂油脂,若有好转,紧固连接件,更换密封元件3.泵轴油封处有空气进入4.泵盖螺钉松动5.联轴器不同心或松动6.油液粘度过高,油中有气泡7.吸入滤油器通过能力太小8.转速太高9.泵体腔道堵塞3.更换油封4.适当拧紧5.重新安装,使其同心,紧固连接件6.改用粘度适当"
E49038,E43832,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",87,"故障原因分析排除方法排油量不足,执1.吸油管及滤油器堵塞或阻力太大2.油箱油位过低3.泵体内没有充满油,有残存空气4.柱塞与缸体或配油盘与缸体间磨损1.排除油管堵塞,清洗滤油器2.检查油量,适当加油3.排除泵内空气4.更换柱塞,修磨配油盘与缸体的接触面,保证接触良好5.检查中心弹簧加以更换5.柱塞回程不够或不能回程,引起缸体与配油盘间失去密封6.变量机构失灵,达不到工作要求7.油温不当或有漏气6."
E49038,E43846,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",87,"故障原因分析排除方法排油量不足,执1.吸油管及滤油器堵塞或阻力太大2.油箱油位过低3.泵体内没有充满油,有残存空气4.柱塞与缸体或配油盘与缸体间磨损1.排除油管堵塞,清洗滤油器2.检查油量,适当加油3.排除泵内空气4.更换柱塞,修磨配油盘与缸体的接触面,保证接触良好5.检查中心弹簧加以更换5.柱塞回程不够或不能回程,引起缸体与配油盘间失去密封6.变量机构失灵,达不到工作要求7.油温不当或有漏气6."
E49323,E43846,3,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",87,"故障原因分析排除方法排油量不足,执1.吸油管及滤油器堵塞或阻力太大2.油箱油位过低3.泵体内没有充满油,有残存空气4.柱塞与缸体或配油盘与缸体间磨损1.排除油管堵塞,清洗滤油器2.检查油量,适当加油3.排除泵内空气4.更换柱塞,修磨配油盘与缸体的接触面,保证接触良好5.检查中心弹簧加以更换5.柱塞回程不够或不能回程,引起缸体与配油盘间失去密封6.变量机构失灵,达不到工作要求7.油温不当或有漏气6."
E53637,E43832,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",87,"故障原因分析排除方法排油量不足,执1.吸油管及滤油器堵塞或阻力太大2.油箱油位过低3.泵体内没有充满油,有残存空气4.柱塞与缸体或配油盘与缸体间磨损1.排除油管堵塞,清洗滤油器2.检查油量,适当加油3.排除泵内空气4.更换柱塞,修磨配油盘与缸体的接触面,保证接触良好5.检查中心弹簧加以更换5.柱塞回程不够或不能回程,引起缸体与配油盘间失去密封6.变量机构失灵,达不到工作要求7.油温不当或有漏气6."
E53637,E43846,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",87,"故障原因分析排除方法排油量不足,执1.吸油管及滤油器堵塞或阻力太大2.油箱油位过低3.泵体内没有充满油,有残存空气4.柱塞与缸体或配油盘与缸体间磨损1.排除油管堵塞,清洗滤油器2.检查油量,适当加油3.排除泵内空气4.更换柱塞,修磨配油盘与缸体的接触面,保证接触良好5.检查中心弹簧加以更换5.柱塞回程不够或不能回程,引起缸体与配油盘间失去密封6.变量机构失灵,达不到工作要求7.油温不当或有漏气6."
E53663,E43832,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",87,"故障原因分析排除方法排油量不足,执1.吸油管及滤油器堵塞或阻力太大2.油箱油位过低3.泵体内没有充满油,有残存空气4.柱塞与缸体或配油盘与缸体间磨损1.排除油管堵塞,清洗滤油器2.检查油量,适当加油3.排除泵内空气4.更换柱塞,修磨配油盘与缸体的接触面,保证接触良好5.检查中心弹簧加以更换5.柱塞回程不够或不能回程,引起缸体与配油盘间失去密封6.变量机构失灵,达不到工作要求7.油温不当或有漏气6."
E53663,E43846,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",87,"故障原因分析排除方法排油量不足,执1.吸油管及滤油器堵塞或阻力太大2.油箱油位过低3.泵体内没有充满油,有残存空气4.柱塞与缸体或配油盘与缸体间磨损1.排除油管堵塞,清洗滤油器2.检查油量,适当加油3.排除泵内空气4.更换柱塞,修磨配油盘与缸体的接触面,保证接触良好5.检查中心弹簧加以更换5.柱塞回程不够或不能回程,引起缸体与配油盘间失去密封6.变量机构失灵,达不到工作要求7.油温不当或有漏气6."
E53666,E43832,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",87,"故障原因分析排除方法排油量不足,执1.吸油管及滤油器堵塞或阻力太大2.油箱油位过低3.泵体内没有充满油,有残存空气4.柱塞与缸体或配油盘与缸体间磨损1.排除油管堵塞,清洗滤油器2.检查油量,适当加油3.排除泵内空气4.更换柱塞,修磨配油盘与缸体的接触面,保证接触良好5.检查中心弹簧加以更换5.柱塞回程不够或不能回程,引起缸体与配油盘间失去密封6.变量机构失灵,达不到工作要求7.油温不当或有漏气6."
