source_id,target_id,weight,source_book,page,evidence
E22320,E21582,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",92,"液压控制阀的故障有它们共性的一面(例:由油液污染引发的卡、堵使阀失效);也有其本身结构、工作条件、控制对象不同所引发的个性方面的故障(例:压力控制阀的压力失调,流量控制阀的输出流量不稳定,方向控制阀的换向不到位"
E22320,E21586,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",92,"液压控制阀的故障有它们共性的一面(例:由油液污染引发的卡、堵使阀失效);也有其本身结构、工作条件、控制对象不同所引发的个性方面的故障(例:压力控制阀的压力失调,流量控制阀的输出流量不稳定,方向控制阀的换向不到位"
E22320,E21581,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",92,"液压控制阀的故障有它们共性的一面(例:由油液污染引发的卡、堵使阀失效);也有其本身结构、工作条件、控制对象不同所引发的个性方面的故障(例:压力控制阀的压力失调,流量控制阀的输出流量不稳定,方向控制阀的换向不到位"
E08973,E25654,1,船舶液压系统故障诊断与维修技术 (郑士君编著),150,"液压系统由转舵机构,泵站1(三螺杆泵,SNE210型),电液操纵阀组2、锁舵阀3、安全防浪阀组4组成"
E08973,E25662,1,船舶液压系统故障诊断与维修技术 (郑士君编著),150,"液压系统由转舵机构,泵站1(三螺杆泵,SNE210型),电液操纵阀组2、锁舵阀3、安全防浪阀组4组成"
E08973,E25663,1,船舶液压系统故障诊断与维修技术 (郑士君编著),150,"液压系统由转舵机构,泵站1(三螺杆泵,SNE210型),电液操纵阀组2、锁舵阀3、安全防浪阀组4组成"
E08973,E08027,1,船舶液压系统故障诊断与维修技术 (郑士君编著),188,"液压系统又由泵、液压马达、控制阀件等组成,所以液压起货机是一个比较复杂的装置"
E26592,E26601,1,船舶液压系统故障诊断与维修技术 (郑士君编著),214,"紫玉兰”轮减摇鳍装置液压系统属阀控式系统(图11-8所示),整个系统在正常工况只有一台单向变量液压泵4供液,其中收放鳍叶液压缸30由三位四通电磁换向阀27控制,液压锁31锁住液压缸的进出油路,将鳍叶固定在所需的位置上,其功能与舵机中的锁舵阀相同,液压缸30的进出口设有单向节流阀26,属回油路节流限速,以增加液压缸的工作稳定性"
E26592,E26594,1,船舶液压系统故障诊断与维修技术 (郑士君编著),214,"紫玉兰”轮减摇鳍装置液压系统属阀控式系统(图11-8所示),整个系统在正常工况只有一台单向变量液压泵4供液,其中收放鳍叶液压缸30由三位四通电磁换向阀27控制,液压锁31锁住液压缸的进出油路,将鳍叶固定在所需的位置上,其功能与舵机中的锁舵阀相同,液压缸30的进出口设有单向节流阀26,属回油路节流限速,以增加液压缸的工作稳定性"
E26592,E18998,1,船舶液压系统故障诊断与维修技术 (郑士君编著),214,"紫玉兰”轮减摇鳍装置液压系统属阀控式系统(图11-8所示),整个系统在正常工况只有一台单向变量液压泵4供液,其中收放鳍叶液压缸30由三位四通电磁换向阀27控制,液压锁31锁住液压缸的进出油路,将鳍叶固定在所需的位置上,其功能与舵机中的锁舵阀相同,液压缸30的进出口设有单向节流阀26,属回油路节流限速,以增加液压缸的工作稳定性"
E26674,E11180,1,"船舶电气设备及系统(大连海事大学出版社,2011) (郑华耀)",97,"无刷直流电动机结构上由电子开关电路、永磁式同步电动机以及位置传感器三者组成,以电子换向装置代替了一般直流电动机机械换向装置"
E12325,E09810,1,"船舶电气设备及系统(大连海事大学出版社,2011) (郑华耀)",139,空气阻尼式时间继电器主要由电磁机构、工作触头(微动开关)、气室及传动机构等组成
E30098,E07635,1,"船舶电气设备及系统(大连海事大学出版社,2011) (郑华耀)",209,"FOCAS–1500C型油分浓度检测报警器依据水中油分影响混浊程度(透光程度)的基本原理来检测水中油分,它是由检测体(DETECTIONCELL)、光源(LIGHTTHROWING)、感光元件(LIGHTRECEIVING)、超声波振荡器(ULTRASONICWAVEVIBRATOR)、压力调节器(PRESSUREREGULATOR)、压力开关(PRESSURESWITCH)和电磁阀(SOLENO"
E26692,E30800,1,"船舶电气设备及系统(大连海事大学出版社,2011) (郑华耀)",238,"分配电板是由过载保护电器组成的集合体,是对额定电流不超过16A的电气设备进行供电的开关板,也称为分电箱,主要有动力分配电板和照明分配电板两种"
E22023,E30985,1,"船舶电气设备及系统(大连海事大学出版社,2011) (郑华耀)",244,"前述岸电箱装有相序指示器,根据该原理可以实现一个最简单的相序继电器,如图12−19所示,过滤器由两组电阻器$R_a$、$R_c$和两个电容器$C_1$和$C_2$组成,其中$R_a$、$R_c$为可调电阻,$X_a=1/(2\pifC_1)$,$X_c=1/(2\pifC_2)$,当电阻$R_a=1.732X_a$,$R_c=X_c/1.732$时,在过滤器输入端上加正序电压,过滤器的继电器J没有"
E09753,E05783,1,"船舶电气设备及系统(大连海事大学出版社,2011) (郑华耀)",256,"当断路器两侧都有电源时,断路器的合闸命令,将先由PMA71系统的PLC单元发出同步并联指令到PMA71系统中的GENOP71发电机保护/并车智能单元,经后者判断同步并车的条件之后,再由GENOP71单元向断路器发出合闸控制信号"
E09753,E31290,1,"船舶电气设备及系统(大连海事大学出版社,2011) (郑华耀)",256,"当断路器两侧都有电源时,断路器的合闸命令,将先由PMA71系统的PLC单元发出同步并联指令到PMA71系统中的GENOP71发电机保护/并车智能单元,经后者判断同步并车的条件之后,再由GENOP71单元向断路器发出合闸控制信号"
E31137,E10313,1,"船舶电气设备及系统(大连海事大学出版社,2011) (郑华耀)",290,无刷发电机通常是由同步发电机、中频交流励磁机和旋转整流器组成
E05783,E05784,1,"船舶电气设备及系统(大连海事大学出版社,2011) (郑华耀)",315,"左至右分别为:电网汇流排3相电压($L_{1},L_{2},L_{3},N$),发电机三相电流(从电流互感器$I_{L_{1}},I_{L_{2}},I_{L_{3}}$输入),发电机3相电压,单元的230V交流电源,24V直流电源,手动合闸的输入指令接线端(由主开关接通后的反馈输入信号常闭触点和同步并车的开始按钮串联组成),以及复位按钮接线端"
E05783,E32757,1,"船舶电气设备及系统(大连海事大学出版社,2011) (郑华耀)",332,"同速度控制一样,发电机电压在由PPU控制时,可以实现电压闭环无差调节,但是实际上PPU常根据设定的电压降和负载电流来控制发电机的电压,这样可以保证各发电机的电压外特性一致,便于多机并车或和主电网并联运行时无功功率的自动分配"
E10313,E33753,1,"船舶电气设备调试与维护 (杜杨主编, 杜杨主编, 杜杨)",50,"同步发电机主要由定子和转子两部分组成(如图2-3所示),转子是磁场,定子是电枢"
E10046,E05783,1,"船舶电气设备调试与维护 (杜杨主编, 杜杨主编, 杜杨)",63,"主配电板是船舶电力系统的中枢,对全船电力系统的发电和配电的操作、控制、保护、测量及监视等功能都集中在主配电板上,主配电板通常由发电机控制屏、并车屏、负载屏及连接汇流排(母线)四部分构成"
E35086,E08970,1,"船舶电气设备调试与维护 (杜杨主编, 杜杨主编, 杜杨)",118,"主电路为一台单向运转的三相异步电动机拖动液压泵,由交流接触KM1进行两地起停控制(驾驶室、舵机舱均可进行控制),启动按钮为SB1,停止按钮为SB2"
E35086,E12894,1,"船舶电气设备调试与维护 (杜杨主编, 杜杨主编, 杜杨)",118,"主电路为一台单向运转的三相异步电动机拖动液压泵,由交流接触KM1进行两地起停控制(驾驶室、舵机舱均可进行控制),启动按钮为SB1,停止按钮为SB2"
E35086,E07852,1,"船舶电气设备调试与维护 (杜杨主编, 杜杨主编, 杜杨)",118,"主电路为一台单向运转的三相异步电动机拖动液压泵,由交流接触KM1进行两地起停控制(驾驶室、舵机舱均可进行控制),启动按钮为SB1,停止按钮为SB2"
E06814,E36312,2,"船舶电气设备调试与维护 (杜杨主编, 杜杨主编, 杜杨)",208,控制器由压差开关(包括杠杆1、主弹簧2、顶杆3、低压波纹管5、压差开关19及高压波纹管20)和延时开关(包括加热器7、延时开关17和双金属片18)两个部分组成
E06814,E36310,1,"船舶电气设备调试与维护 (杜杨主编, 杜杨主编, 杜杨)",208,控制器由压差开关(包括杠杆1、主弹簧2、顶杆3、低压波纹管5、压差开关19及高压波纹管20)和延时开关(包括加热器7、延时开关17和双金属片18)两个部分组成
E06519,E29909,1,"船舶电气设备调试与维护 (杜杨主编, 杜杨主编, 杜杨)",210,"压缩机启动45s后,继电器K11(43)会因常闭触点K10延时开启而失电,其常开触点K10(6)断开,这时由低压开关1P2来控制压缩机的起停"
E10580,E11401,1,"内河船舶电气设备的原理与维护 (马南琦等编著, 马南琦等编著, 马南琦)",125,"船舶发电机通常由柴油机拖动,并组成柴油发电机组"
E15847,E18484,1,"舰船动力装置故障诊断与可靠性 (张维竞编, 張維競 (船舶工程))",26,"废气涡轮增压器由单级废气涡轮和离心式压气机组成,两者装于同一轴上构成废气涡轮增压器的运动件——转子"
