source_id,target_id,weight,source_book,page,evidence
E05868,E36873,1,船舶电气设备维修指南,16,"障,可信度为$X_{1}$;移相电抗器开路,可信度为$X_{2}$;复励变压器故障,可信度为$X_{3}$"
E05883,E36895,1,船舶电气设备维修指南,18,"其中如电阻烧坏、电容器漏液或炸裂、电源变压器损坏,开关滑位、电路断线、插件松脱等迹象都容易发现"
E20768,E40680,1,船舶柴油机故障实例 (张庆信编),35,要改变活塞环异常磨损和改善初期干磨擦方面采取下述措施是重要的
E06535,E37031,1,船舶电气设备维修指南,74,代号HRDKCQJLZBTMA名称刀开关和刀形转换开关熔断器断路器控制器接触器起动器控制继电器主令电器电阻器变阻器调整器电磁铁其他A按钮式按钮B板形元件触电保护器C插入式电磁式冲片元件旋臂式插销D刀开关漏电铁铬铝带型元件电压信号灯EFG鼓形高压管形元件H封闭式负荷开关汇流排式接线盒J交流减压接近开关K开启式负荷开关真空主令控制器L螺旋式电流励磁电铃M密闭管式灭磁灭磁NP平面中频频敏Q起动牵引R熔断
E20869,E40712,1,船舶柴油机故障实例 (张庆信编),43,透平端轴承外套损坏
E20909,E40717,1,船舶柴油机故障实例 (张庆信编),45,"活塞环的测量是一项简单的工作,但从这次主机活塞环断裂的后果证明,这确是一件非常重要的技术工作"
E21077,E40738,1,船舶柴油机故障实例 (张庆信编),56,扫气单向阀片损坏
E08973,E40778,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",3,液压系统产生漏油的原因与解决方法......(54
E21529,E40841,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",17,"液压泵常常希望能高速运转,这样可直接与高速原动机连接并缩小液压泵体积,而液压马达最好能与低速的工作机构直接连接,否则要采取减速措施,对于变速的液压马达也希望调速范围大,具有最低的稳定转速,齿轮液压马达漏油环节较多,采用间隙补偿提高容积效率的结构也较复杂,因此一般不适用于低速"
E21816,E40855,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",31,"从而使右侧液压缸失压,左侧液压缸中的油液高速回油箱,这时专用阀的阀芯右端失压,在弹簧力作用下,阀芯向右移动,当移到节流阀位置时,左侧液压缸回油通道被节流,回油受到较大阻力,使管路中的油压升高,平衡住水流对舵叶的作用,而使舵叶转动速度得到限止,不致使右侧液压缸出现吸空现象"
E08973,E40921,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",54,液压系统漏油是一种严重的能源浪费
E18460,E40934,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",54,"管接头漏油在漏油事故中占的比例很高,约占系统漏油的30%~40%"
E18460,E40936,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",54,管接头漏油主要与连接处的加工精度、坚固程度及毛刺是否除掉有关
E15248,E41012,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E22500,E41015,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E22505,E41022,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E22511,E41026,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E08027,E41066,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",85,"泵的工作压力低或无压力:在负载正常情况下主要原因是泵零部件磨损严重,密封件失效,管路破损,控制阀故障,执行元件内漏严重"
E20405,E41070,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",85,"吸油管不允许漏气,并尽可能减小泵的吸入阻力"
E22860,E41206,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",96,"故障产生原因排除方法主阀芯不运动1.电磁铁故障(1)电磁铁线圈烧坏(2)电磁铁推动力不足或漏磁(3)电气线路出故障(4)电磁铁未加上控制信号(5)电磁铁铁芯卡死(1)检查原因,进行修理或更换(2)检查原因,进行修理或更换(3)消除故障(4)检查后加上控制信号(5)检修或更换2.先导电磁阀故障(1)阀芯与阀体孔卡死(如零件几何精度差;阀芯与阀孔配合过紧;油液过脏)(2)弹簧弯曲,使滑阀卡死(1)修理"
E06857,E41356,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",119,"故障产生原因分析排除方法操舵时舵机不转舵1.操舵系统中机械连接件松脱,应该插入的插销未插入,或同时插入两套操舵装置的插销,导致装置运动件发生干涉、损坏或插销折断,开口销未装妥使连接销脱落2.操舵系统或主油路系统在投入正常工作时应该关闭的旁通阀未关或未关严3.液压系统故障,主、辅液压泵损坏,安全溢流阀、分配阀箱、各种截止阀损坏或严重泄漏,或未调整好4.电力操纵系统断路,电磁阀线圈烧坏或滑阀卡阻,主液"
E08973,E41360,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",119,"故障产生原因分析排除方法操舵时舵机不转舵1.操舵系统中机械连接件松脱,应该插入的插销未插入,或同时插入两套操舵装置的插销,导致装置运动件发生干涉、损坏或插销折断,开口销未装妥使连接销脱落2.操舵系统或主油路系统在投入正常工作时应该关闭的旁通阀未关或未关严3.液压系统故障,主、辅液压泵损坏,安全溢流阀、分配阀箱、各种截止阀损坏或严重泄漏,或未调整好4.电力操纵系统断路,电磁阀线圈烧坏或滑阀卡阻,主液"
E18998,E41360,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",119,"故障产生原因分析排除方法操舵时舵机不转舵1.操舵系统中机械连接件松脱,应该插入的插销未插入,或同时插入两套操舵装置的插销,导致装置运动件发生干涉、损坏或插销折断,开口销未装妥使连接销脱落2.操舵系统或主油路系统在投入正常工作时应该关闭的旁通阀未关或未关严3.液压系统故障,主、辅液压泵损坏,安全溢流阀、分配阀箱、各种截止阀损坏或严重泄漏,或未调整好4.电力操纵系统断路,电磁阀线圈烧坏或滑阀卡阻,主液"
E18998,E41363,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",119,"故障产生原因分析排除方法操舵时舵机不转舵1.操舵系统中机械连接件松脱,应该插入的插销未插入,或同时插入两套操舵装置的插销,导致装置运动件发生干涉、损坏或插销折断,开口销未装妥使连接销脱落2.操舵系统或主油路系统在投入正常工作时应该关闭的旁通阀未关或未关严3.液压系统故障,主、辅液压泵损坏,安全溢流阀、分配阀箱、各种截止阀损坏或严重泄漏,或未调整好4.电力操纵系统断路,电磁阀线圈烧坏或滑阀卡阻,主液"
E06857,E41365,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",119,"故障产生原因分析排除方法操舵时舵机不转舵1.操舵系统中机械连接件松脱,应该插入的插销未插入,或同时插入两套操舵装置的插销,导致装置运动件发生干涉、损坏或插销折断,开口销未装妥使连接销脱落2.操舵系统或主油路系统在投入正常工作时应该关闭的旁通阀未关或未关严3.液压系统故障,主、辅液压泵损坏,安全溢流阀、分配阀箱、各种截止阀损坏或严重泄漏,或未调整好4.电力操纵系统断路,电磁阀线圈烧坏或滑阀卡阻,主液"
E20669,E41370,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",119,"具体原因有:1.密封、填料、阀门、接头等处有泄漏,空气进入系统2.拆装检修后没有驱尽空气,整个操作过程不严格遵守规程3.在使用过程中,发送器补给油箱油位过低,甚至低于补给阀吸入口,补油时将空气吸入4.管路中弯头太多,布置不合理,造成气塞1.检漏、更换密封件2.拆检时严守操作规程,排尽空气3.注意补油,防污染物进入系统4.改进管路布置操舵停止,舵叶继续转动,造成“冲舵”1.反馈装置失灵2.管路接反3"
E23690,E41411,3,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",135,"故障产生原因排除方法起升绞车液压系统1.无工作压力或控制压力2.安全阀已开启3.钢丝绳松弛设备已动作4.控制元件没有发挥作用1.检查压力,按需要重新调整2.重新调整3.检查,按需要重新调整4.检查控制元件动作无工作压力1.组合阀中电磁阀卡死2.管道破裂或接头泄漏1.拆检并清洁2.修补或重新安装(注意:破裂部分可能在油柜中)无控制压力3.吸入滤器堵塞4.液压泵不供油3.清洗滤器4.参照[液压泵]部分"
E06814,E41412,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",135,"故障产生原因排除方法起升绞车液压系统1.无工作压力或控制压力2.安全阀已开启3.钢丝绳松弛设备已动作4.控制元件没有发挥作用1.检查压力,按需要重新调整2.重新调整3.检查,按需要重新调整4.检查控制元件动作无工作压力1.组合阀中电磁阀卡死2.管道破裂或接头泄漏1.拆检并清洁2.修补或重新安装(注意:破裂部分可能在油柜中)无控制压力3.吸入滤器堵塞4.液压泵不供油3.清洗滤器4.参照[液压泵]部分"
E06814,E41415,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",135,"故障产生原因排除方法起升绞车液压系统1.无工作压力或控制压力2.安全阀已开启3.钢丝绳松弛设备已动作4.控制元件没有发挥作用1.检查压力,按需要重新调整2.重新调整3.检查,按需要重新调整4.检查控制元件动作无工作压力1.组合阀中电磁阀卡死2.管道破裂或接头泄漏1.拆检并清洁2.修补或重新安装(注意:破裂部分可能在油柜中)无控制压力3.吸入滤器堵塞4.液压泵不供油3.清洗滤器4.参照[液压泵]部分"
