relation_type,source_id,target_id,weight,source_book,page,evidence
COVERS,E00001,E05739,4,船舶电气设备维修指南,5,电气控制线路图的读图方法及一般故障的检查方法.....(119
COVERS,E00001,E43827,138,船舶电气设备维修指南,7,你曾注意到有何异常现象?有何声响或光报警信号等?有无烟气或异味?有无误操作(注意询问方式)?
COVERS,E00001,E48559,18,船舶电气设备维修指南,8,"检查所有仪表读数是否正常,如电压、频率、电流等"
COVERS,E00001,E48560,10,船舶电气设备维修指南,8,摸:振动、电机和元(组)件的温度
COVERS,E00001,E05783,47,船舶电气设备维修指南,11,"首先要选择顶事件,一般来讲,就是选择设备的某一个故障为顶事件,如电动机不能起动;发电机不能建立电压;主开关不能合闸等等,做为故障分析目标,顶事件选好后,就可以按顶事件所代表的故障事件把系统内部的诸多故障事件(中间事件或底事件)联系起来"
COVERS,E00001,E05784,17,船舶电气设备维修指南,11,"首先要选择顶事件,一般来讲,就是选择设备的某一个故障为顶事件,如电动机不能起动;发电机不能建立电压;主开关不能合闸等等,做为故障分析目标,顶事件选好后,就可以按顶事件所代表的故障事件把系统内部的诸多故障事件(中间事件或底事件)联系起来"
COVERS,E00001,E05794,87,船舶电气设备维修指南,12,电动机散热不良
COVERS,E00001,E43197,17,船舶电气设备维修指南,13,而FT断开可能是:1过载动作没有复位;2本身故障无法闭合
COVERS,E00001,E05868,1,船舶电气设备维修指南,16,"障,可信度为$X_{1}$;移相电抗器开路,可信度为$X_{2}$;复励变压器故障,可信度为$X_{3}$"
COVERS,E00001,E36873,1,船舶电气设备维修指南,16,"障,可信度为$X_{1}$;移相电抗器开路,可信度为$X_{2}$;复励变压器故障,可信度为$X_{3}$"
COVERS,E00001,E05883,3,船舶电气设备维修指南,18,"其中如电阻烧坏、电容器漏液或炸裂、电源变压器损坏,开关滑位、电路断线、插件松脱等迹象都容易发现"
COVERS,E00001,E36895,1,船舶电气设备维修指南,18,"其中如电阻烧坏、电容器漏液或炸裂、电源变压器损坏,开关滑位、电路断线、插件松脱等迹象都容易发现"
COVERS,E00001,E43828,34,船舶电气设备维修指南,21,元件的发热由环境温度、自身功耗和散热能力决定
COVERS,E00001,E48600,15,船舶电气设备维修指南,21,"如在一次检修中,某设备上有两种IC元件分别为MC672、MC660,电源电压15V"
COVERS,E00001,E48605,3,船舶电气设备维修指南,23,"它最大输出电流为1.5A,输入电压范围为14~35V"
COVERS,E00001,E43198,4,船舶电气设备维修指南,24,因光敏电阻$R_{g}$老化导致系统失灵
COVERS,E00001,E05974,7,船舶电气设备维修指南,24,"上述这种情况较常见,如半导体感温器、传感器等,灵敏度降低后就可采用这一办法"
COVERS,E00001,E05980,18,船舶电气设备维修指南,24,"实测图1-16的数据为:变压器为380V/12V,3~4端为控制端电压(0~5V),可控硅交流侧电压为252V,直流输出为0~100V(这部分图中未画出"
COVERS,E00001,E05981,3,船舶电气设备维修指南,24,"脉冲变压器仍利用原来的,具体电路如图1-17所示"
COVERS,E00001,E48620,6,船舶电气设备维修指南,26,符号与数字表示意义$\Omega$直流电表的制式——永磁动圈式$\pm$交流电表的制式——交流式$\Omega$测量直流电阻的刻度DC或—测量直流电流或直流电压的刻度AC或—测量交流电压的刻度1DB或dB测量输出电平的刻度2.5_或-2.5直流电流和直流电压的准确度为2.5级($\pm2.5\%$)4.0_或~4.0交流电压和输出电平的准确度为4.0级($\pm4.0\%$)$\Omega$2.5
COVERS,E00001,E48622,3,船舶电气设备维修指南,26,符号与数字表示意义$\Omega$直流电表的制式——永磁动圈式$\pm$交流电表的制式——交流式$\Omega$测量直流电阻的刻度DC或—测量直流电流或直流电压的刻度AC或—测量交流电压的刻度1DB或dB测量输出电平的刻度2.5_或-2.5直流电流和直流电压的准确度为2.5级($\pm2.5\%$)4.0_或~4.0交流电压和输出电平的准确度为4.0级($\pm4.0\%$)$\Omega$2.5
COVERS,E00001,E48623,5,船舶电气设备维修指南,26,符号与数字表示意义$\Omega$直流电表的制式——永磁动圈式$\pm$交流电表的制式——交流式$\Omega$测量直流电阻的刻度DC或—测量直流电流或直流电压的刻度AC或—测量交流电压的刻度1DB或dB测量输出电平的刻度2.5_或-2.5直流电流和直流电压的准确度为2.5级($\pm2.5\%$)4.0_或~4.0交流电压和输出电平的准确度为4.0级($\pm4.0\%$)$\Omega$2.5
COVERS,E00001,E06058,7,船舶电气设备维修指南,33,"其中:转换开关,是用来选择万用表测试功能,一般的数字式万用表具有:测量直流电压(DCV),交流电压(ACV),直流电流(DCA),交流电流(ACA),电阻(Ω),二极管的正向压降(VF),三极管的共发射极电流的放大倍数($h_{FE}$),以及电容等"
COVERS,E00001,E43964,1,船舶电气设备维修指南,33,"其中:转换开关,是用来选择万用表测试功能,一般的数字式万用表具有:测量直流电压(DCV),交流电压(ACV),直流电流(DCA),交流电流(ACA),电阻(Ω),二极管的正向压降(VF),三极管的共发射极电流的放大倍数($h_{FE}$),以及电容等"
COVERS,E00001,E43971,2,船舶电气设备维修指南,34,1不要随便拆卸、更换线路
COVERS,E00001,E48690,23,船舶电气设备维修指南,35,"它不但能像电压表、电流表、功率表那样测试信号的幅度,也能像频率计、相位计那样测试信号的周期、频率和相位,而且还能测试调制信号的参数,估计信号的非线性失真,测试脉冲的上冲、下冲、平顶下垂、阻尼振荡等等,是船舶电气电子设备维修不可缺少的仪器"
COVERS,E00001,E43199,27,船舶电气设备维修指南,38,"当“L”、“E”短路时,$I_{LQ}$为最大,这时指针顺时针方向偏转到最大位置,刻度为“0"
COVERS,E00001,E48743,25,船舶电气设备维修指南,39,"摇动手柄应由慢逐渐到快,并保持均匀,转速在$120\,r/min$或略高"
COVERS,E00001,E36994,1,船舶电气设备维修指南,40,造成该故障的原因:微安电流表损坏、整流器开路、温度补偿电阻开路以及二次线圈断路等等
COVERS,E00001,E48759,1,船舶电气设备维修指南,40,造成该故障的原因:微安电流表损坏、整流器开路、温度补偿电阻开路以及二次线圈断路等等
COVERS,E00001,E06209,7,船舶电气设备维修指南,41,"定子绕组为多路并联时,要把各并联支路拆开"
COVERS,E00001,E43829,6,船舶电气设备维修指南,41,以免由于电流过大而烧坏短路侦察器的线圈
COVERS,E00001,E43201,3,船舶电气设备维修指南,43,"所谓导电材料,是指在常温下具有较高的导电性能和足够的机械强度,不易氧化、腐蚀,容易加工和焊接等特性"
COVERS,E00001,E06306,14,船舶电气设备维修指南,51,高阻导电材料一般用于制作变阻器、调速器、电热器及高温测量用的电阻器
COVERS,E00001,E48786,5,船舶电气设备维修指南,52,"技术特性表中找到电刷种类,再结合电机的特性(额定电压、电流)和运行条件(连续、断续、短时)决定电刷的具体型号"
COVERS,E00001,E43203,7,船舶电气设备维修指南,52,类别型号电阻系数(分接触法)$\Omega\cdotmm^{2}/m$-对电刷的接触电压降(V)摩擦系数不大于50h磨损(mm)不大于工作条件额定电流密度$A/cm^{2}$允许圆周速度(m/s)电刷使用压力$10^{2}Pa$石墨电刷S-38~201.5~2.30.250.21125200~250电化石墨电刷DS-46~161.6~2.40.20.251240150~200DS-831~501.
COVERS,E00001,E43205,4,船舶电气设备维修指南,53,"由于船上的环境温度变化大,则要求其膨胀系数小一些,否则,受热膨胀、受冷收缩会使绝缘材料起层皮,产生裂纹、变形甚至破损,这样造成绝缘电阻下降,甚至击穿"
COVERS,E00001,E37024,1,船舶电气设备维修指南,59,"参数名称定义参数名称定义$I_{F}$最大整流电流二极管长期运行时,允许通过的最大正向平均电流(直流分量)$U_{R}$最高反向工作电压允许长期加在二极管反向的恒定电压值$U_{F}$正向电压降二极管通过额定正向电流($I_{F}$)时,在管子两间产生的电压降(平均值)$I_{PSM}$不重复正向浪涌电流一种由于电路异常情况(如故障)引起的、并使结温超过额定结温的不重复性最大正向载电流$I_{R}"
COVERS,E00001,E48815,1,船舶电气设备维修指南,59,"参数名称定义参数名称定义$I_{F}$最大整流电流二极管长期运行时,允许通过的最大正向平均电流(直流分量)$U_{R}$最高反向工作电压允许长期加在二极管反向的恒定电压值$U_{F}$正向电压降二极管通过额定正向电流($I_{F}$)时,在管子两间产生的电压降(平均值)$I_{PSM}$不重复正向浪涌电流一种由于电路异常情况(如故障)引起的、并使结温超过额定结温的不重复性最大正向载电流$I_{R}"
COVERS,E00001,E48820,1,船舶电气设备维修指南,59,"参数名称定义参数名称定义$I_{F}$最大整流电流二极管长期运行时,允许通过的最大正向平均电流(直流分量)$U_{R}$最高反向工作电压允许长期加在二极管反向的恒定电压值$U_{F}$正向电压降二极管通过额定正向电流($I_{F}$)时,在管子两间产生的电压降(平均值)$I_{PSM}$不重复正向浪涌电流一种由于电路异常情况(如故障)引起的、并使结温超过额定结温的不重复性最大正向载电流$I_{R}"
COVERS,E02938,E15020,21,船舶柴油机故障实例 (张庆信编),16,"更为头痛的是营运一个航次之后,该船北驶行经某狭水道之际,突然发生了主机扫气温度和活塞、气缸淡水温度的反常升高,多次开大海水阀门调节不见成效"
COVERS,E00001,E06519,41,船舶电气设备维修指南,73,"本章主要内容:讲述船用接触器、继电器、自动开关的维护保养和故障检修,并介绍PC可编程控制器的维修保护和故障检修"
COVERS,E00001,E06520,5,船舶电气设备维修指南,73,"本章主要内容:讲述船用接触器、继电器、自动开关的维护保养和故障检修,并介绍PC可编程控制器的维修保护和故障检修"
COVERS,E02938,E48743,5,船舶柴油机故障实例 (张庆信编),19,"但是,由于主通道的突然受阻形成了排烟不畅,以致主机在大负荷时的换气失调、燃烧恶化、增压压力下降、转速大幅度下跌和增压系统的自动转换(受扫气压力控制)等一系列反应"
COVERS,E02938,E50611,1,船舶柴油机故障实例 (张庆信编),19,"但是,由于主通道的突然受阻形成了排烟不畅,以致主机在大负荷时的换气失调、燃烧恶化、增压压力下降、转速大幅度下跌和增压系统的自动转换(受扫气压力控制)等一系列反应"
COVERS,E02938,E16903,1,船舶柴油机故障实例 (张庆信编),21,"见主机停,马上又自行运转起来,紧接着又是停车"
COVERS,E00001,E48902,1,船舶电气设备维修指南,73,"这种电器主要用于电力传动系统中,它应具有工作准确可靠、操作频率高、寿命长和尺寸小"
COVERS,E02938,E15025,2,船舶柴油机故障实例 (张庆信编),22,"在主机停转的瞬间,由于各活塞连杆组所处的位置和对曲拐所构成的转矩的大小和方向不同,其间存在着不平衡,从而便出现了轴系(曲轴)的瞬间颤动现象——正、反向摇动(这种摆动一般是正常的"
